,yield_spread,yield_spread_3m_avg,yield_inverted,unrate,unrate_mom,unrate_3m_avg,unrate_yoy,icsa,icsa_3m_avg,icsa_yoy_pct,indpro_mom_pct,indpro_yoy_pct,umcsent,umcsent_yoy,credit_spread,credit_spread_3m_avg,credit_spread_mom,payems_mom,payems_3m_avg,USREC
2005-10-31,0.1925,0.22120600414078692,0,5.0,0.0,4.966666666666667,-0.5,352200.0,350233.3333333333,5.449101796407185,1.2137396970635095,2.0209103457029087,74.2,-17.5,1.8345,1.788021739130435,0.0044999999999999485,89.0,113.66666666666667,0.0
2005-11-30,0.1185,0.1879523809523811,0,5.0,0.0,5.0,-0.40000000000000036,317250.0,350733.3333333333,-3.4980988593155904,1.1240218459586115,2.9120723180627417,81.6,-11.200000000000003,1.855,1.8398333333333332,0.020499999999999963,356.0,165.0,0.0
2005-12-31,0.0628571428571428,0.12461904761904774,0,4.9,-0.09999999999999964,4.966666666666667,-0.5,316400.0,328616.6666666667,-2.720983858570325,0.5164986354512013,2.6259073757150198,91.5,-5.599999999999994,1.853809523809524,1.8477698412698416,-0.0011904761904759642,162.0,202.33333333333334,0.0
2006-01-31,0.0204999999999999,0.06728571428571438,0,4.7,-0.20000000000000018,4.866666666666667,-0.5999999999999996,295750.0,309800.0,-13.875946418171225,0.15778436884212876,2.4194801632455576,91.2,-4.299999999999997,1.821,1.8432698412698414,-0.032809523809524066,268.0,262.0,0.0
2006-02-28,-0.0994736842105263,-0.005372180451127713,1,4.8,0.09999999999999964,4.8,-0.6000000000000005,290750.0,300966.6666666667,-6.736166800320776,0.042158902402134046,1.7242361205308532,86.7,-7.3999999999999915,1.7010526315789474,1.7919540517961572,-0.11994736842105258,306.0,245.33333333333334,0.0
2006-03-31,-0.0099999999999999,-0.02965789473684195,1,4.7,-0.09999999999999964,4.733333333333333,-0.5,301750.0,296083.3333333333,-9.111445783132533,0.22546525748337043,2.091541760329152,88.9,-3.6999999999999886,1.687391304347826,1.7364813119755909,-0.013661327231121456,305.0,293.0,0.0
2006-04-30,0.101578947368421,-0.002631578947368249,0,4.7,0.0,4.733333333333333,-0.5,303600.0,298700.0,-6.064356435643569,0.30366798425394137,2.1816142662632876,87.4,-0.29999999999999716,1.69,1.6928146453089246,0.002608695652174031,172.0,261.0,0.0
2006-05-31,0.1418181818181818,0.0777990430622011,0,4.6,-0.10000000000000053,4.666666666666667,-0.5,332750.0,312700.0,1.758409785932713,0.025414684625046924,2.1156664964513183,79.1,-7.800000000000011,1.6354545454545453,1.6709486166007903,-0.054545454545454675,39.0,172.0,0.0
2006-06-30,-0.0154545454545454,0.07598086124401927,1,4.6,0.0,4.633333333333334,-0.40000000000000036,305500.0,313950.0,-6.216423637759016,0.3166411740827879,1.9803386251444621,84.9,-11.099999999999994,1.673181818181818,1.666212121212121,0.03772727272727283,88.0,99.66666666666667,0.0
2006-07-31,-0.031,0.03178787878787894,1,4.7,0.10000000000000053,4.633333333333333,-0.2999999999999998,318800.0,319016.6666666667,-1.7262638717632561,-0.05126150735067503,2.251836527383766,84.7,-11.799999999999997,1.6745,1.6610454545454545,0.001318181818181996,192.0,106.33333333333333,0.0
